"","ITS2.type.profile.UID","Clade","Majority.ITS2.sequence","Associated.species","ITS2.profile.abundance.local","ITS2.profile.abundance.DB","ITS2.type.profile","Sequence.accession...SymPortal.UID","Average.defining.sequence.proportions.and..stdev."
"1",1661676,"A","A3/A4/A13","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",21,26,"A3/A4/A13-A4a","22385/29206/8181-40166","0.634[0.211]/0.150[0.114]-0.111[0.095]/0.105[0.186]"
"2",1661811,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",11,230,"A3","22385","1.000[0.000]"
"3",1661272,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",10,22,"A3/A4/A4a","22385/29206-40166","0.657[0.295]/0.198[0.147]-0.144[0.151]"
"4",1661422,"A","A3bb/A3bt","None",9,322,"A3bb/A3bt","","0.515[0.062]/0.485[0.062]"
"5",1661525,"A","A3/A13","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",8,28,"A3/A13","","0.627[0.220]/0.373[0.220]"
"6",1661677,"A","A4/A3/A4a","Symbiodinium natans,Symbiodinium tridacnidorum",8,8,"A4/A3/A4a-A4d","29206/22385/40166-29900","0.330[0.130]/0.292[0.241]/0.288[0.136]-0.089[0.061]"
"7",1661737,"A","A4","None",7,10,"A4-A4fe-A4bk-A4au","29206-318716-29353-37992","0.696[0.145]-0.134[0.081]-0.088[0.042]-0.082[0.052]"
"8",1669273,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",6,15,"A3-A4","22385-29206","0.859[0.065]-0.141[0.065]"
"9",1661179,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",4,5,"A3-A3ah-A3m","22385-36733-363106","0.934[0.015]-0.044[0.003]-0.022[0.013]"
"10",1661509,"A","A13","Symbiodinium necroappetens",3,13,"A13-A13o","8181-30487","0.978[0.006]-0.022[0.006]"
"11",1661675,"A","A4a","None",3,3,"A4a-A4-A4d","40166-29206-29900","0.566[0.036]-0.282[0.022]-0.152[0.058]"
"12",1661197,"A","A4","None",2,23,"A4/A4a","29206-40166","0.617[0.156]-0.383[0.156]"
"13",1661455,"A","A4a","None",2,15,"A4/A4a-A4dz","40166-29206-136994","0.503[0.001]-0.490[0.001]-0.007[0.002]"
"14",1661108,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,5,"A3-A3t-A3ad","22385-35445-35231","0.968[0.000]-0.022[0.000]-0.010[0.000]"
"15",1661804,"A","A4","None",2,114,"A4","29206","1.000[0.000]"
"16",1661309,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,16,"A3/A3ah","22385-36733","0.950[0.000]-0.050[0.000]"
"17",1661568,"A","A13","Symbiodinium necroappetens",1,21,"A13/A4","8181-29206","0.992[nan]-0.008[nan]"
"18",1669274,"A","A4","None",1,31,"A4-A3","29206-22385","0.844[nan]-0.156[nan]"
"19",1661777,"A","A1pp","None",1,8,"A1pp/A1er","63479-64772","0.715[nan]-0.285[nan]"
"20",1661400,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,15,"A3-A3ft","22385-905679","0.994[nan]-0.006[nan]"
"21",1661027,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,60,"A3-A3s-A3q-A3r","22385-63388-22438-22472","0.885[nan]-0.059[nan]-0.034[nan]-0.022[nan]"
"22",1661028,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,52,"A3-A3m","22385-363106","0.954[nan]-0.046[nan]"
"23",1662589,"B","B1/B14d","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",35,35,"B1/B14d-B1jp-B1jn-B1jo-B1co-B1jq","4946/693411-31037-697953-2533813-30454-6483635","0.444[0.164]/0.247[0.079]-0.124[0.047]-0.066[0.026]-0.060[0.027]-0.032[0.014]-0.027[0.012]"
"24",1662122,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",7,83,"B1-B1g-B1s-B1bz","4946-29275-51798-53344","0.805[0.039]-0.092[0.022]-0.059[0.019]-0.045[0.008]"
"25",1662585,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",7,7,"B1-B1jm","4946-6483638","0.922[0.036]-0.078[0.036]"
"26",1662786,"B","B1gc","None",5,12,"B1gc","30340","1.000[0.000]"
"27",1662586,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",4,4,"B1-B14d-B1jn-B1jp-B1jo","4946-693411-697953-31037-2533813","0.620[0.267]-0.157[0.134]-0.103[0.133]-0.080[0.043]-0.040[0.026]"
"28",1662588,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",4,4,"B1-B14d-B1jp-B1jn-B1jo-B1co","4946-693411-31037-697953-2533813-30454","0.739[0.085]-0.112[0.021]-0.058[0.031]-0.040[0.022]-0.035[0.018]-0.016[0.005]"
"29",1662391,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",3,9,"B1-B1g-B1h","4946-29227-29275","0.936[0.048]-0.038[0.028]-0.026[0.020]"
"30",1662663,"B","B1/B5","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",3,14,"B5/B1-B5ay","4946/29665-37591","0.473[0.115]/0.467[0.070]-0.060[0.045]"
"31",1662587,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",2,2,"B1-B14d-B1jp","4946-693411-31037","0.851[0.047]-0.086[0.036]-0.063[0.011]"
"32",1662054,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",2,41,"B1-B1g","4946-29275","0.991[0.001]-0.009[0.001]"
"33",1662696,"B","B5","None",2,36,"B5","29665","1.000[0.000]"
"34",1662711,"B","B1g","None",2,37,"B1g","29275","1.000[0.000]"
"35",1662590,"B","B1/B1be","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",2,7,"B1/B1be","","0.549[0.287]/0.451[0.287]"
"36",1662720,"B","B2a","Breviolum aenigmaticum",1,17,"B2a","62762","1.000[nan]"
"37",1662491,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,6,"B1/B14d","4946-693411","0.990[nan]-0.010[nan]"
"38",1662748,"B","B11","None",1,4,"B11","62770","1.000[nan]"
"39",1662756,"B","B8a","None",1,25,"B8a","29324","1.000[nan]"
"40",1662774,"B","B1ib","None",1,6,"B1ib","1160377","1.000[nan]"
"41",1662529,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,6,"B1-B1az","4946-89135","0.924[nan]-0.076[nan]"
"42",1662785,"B","B2ay","None",1,1,"B2ay","6483711","1.000[nan]"
"43",1662675,"B","B19","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,58,"B19/B1","37844-4946","0.668[nan]-0.332[nan]"
"44",1662043,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,55,"B1/B5","4946-29665","0.795[nan]-0.205[nan]"
"45",1662680,"B","B19","None",1,5,"B19-B19ai","37844-1913913","0.727[nan]-0.273[nan]"
"46",1662716,"B","B2d","None",1,6,"B2d","45468","1.000[nan]"
"47",1662061,"B","B5","None",1,9,"B5-B5ay-B1in-B5ci-B1io","29665-43614-37591-37592-37590","0.861[nan]-0.075[nan]-0.030[nan]-0.022[nan]-0.012[nan]"
"48",1666051,"C","C1/C3","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",32,37,"C1/C3-C3de-C1c-C21ae-C3bb-C3an-C3s-C21","2/32-2554-308-38767-982-1354-38269-41","0.408[0.131]/0.276[0.084]-0.081[0.039]-0.062[0.018]-0.049[0.024]-0.047[0.022]-0.034[0.026]-0.023[0.014]-0.020[0.013]"
"49",1665027,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",18,96,"C3/C3bb-C3de-C21ae-C3s-C3an-C21-C3dk","32-2554-38767-982-1354-38269-71161-41","0.396[0.088]-0.191[0.033]-0.110[0.019]-0.108[0.022]-0.057[0.010]-0.055[0.010]-0.044[0.009]-0.040[0.010]"
"50",1666604,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",14,24,"C3-C3de-C1-C3bb-C21ae-C3an-C3s-C21-C3dk","32-2554-2-982-38767-1354-38269-41-71161","0.377[0.051]-0.148[0.034]-0.118[0.091]-0.090[0.019]-0.090[0.021]-0.056[0.025]-0.043[0.015]-0.042[0.020]-0.037[0.010]"
"51",1669165,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",11,1816,"C1/C3-C1c-C1b-C72k-C3ju","2-308-32-4-835-834","0.726[0.088]-0.109[0.022]-0.091[0.118]-0.035[0.011]-0.026[0.005]-0.013[0.002]"
